2457438.9611;14.812;V;DKS;1
2457471.89834;14.909;V;DKS;1
2457484.83882;15.034;V;DKS;1
2457504.89124;14.944;V;DKS;1
2457515.821;14.996;V;DKS;1
2457528.84167;14.816;V;DKS;1
2457575.8102;14.777;V;DKS;1
2457640.54445;14.803;V;DKS;1
2457672.52767;14.728;V;DKS;1
2457683.49461;14.83;V;DKS;1
2457697.48945;14.748;V;DKS;1
2457811.94132;14.717;V;DKS;1
2457833.92286;14.671;V;DKS;1
2457834.87729;14.666;V;DKS;1
2457882.89705;14.729;V;DKS;1
2457900.51661;16.532;B;GCO;1
2457900.53625;12.988;R;GCO;1
2457900.54137;14.584;V;GCO;1
2457900.54807;11.486;I;GCO;1
2457900.89348;14.726;V;DKS;1
2457954.78025;16.266;B;SRIC;1
2457954.78287;14.574;V;SRIC;1
2457954.78396;11.446;I;SRIC;1
2457975.75207;16.629;B;SRIC;1
2457975.75573;14.748;V;SRIC;1
2457975.75784;11.564;I;SRIC;1
2457980.60095;14.677;V;DKS;1
2457988.79765;16.373;B;SRIC;1
2457988.80882;14.573;V;SRIC;1
2457988.81105;11.38;I;SRIC;1
2457991.6835;16.345;B;SRIC;1
2457991.6915;14.601;V;SRIC;1
2457991.69374;11.436;I;SRIC;1
2458022.52704;14.677;V;DKS;1
2458023.68322;16.458;B;SRIC;1
2458023.68698;14.67;V;SRIC;1
2458023.68921;11.503;I;SRIC;1
2458058.52922;14.716;V;DKS;1
2458060.52795;14.69;V;DKS;1
2458065.53258;14.722;V;DKS;1
2458275.83442;14.829;V;DKS;1
2458313.44402;13.123;R;GCO;1
2458313.45073;16.498;B;GCO;1
2458313.46988;14.678;V;GCO;1
2458313.47491;11.454;I;GCO;1
2458374.5757;14.742;V;DKS;1
2458413.51684;14.038;V;DKS;1
2458577.88759;14.42;V;DKS;1
2458614.89912;14.534;V;DKS;1
2458960.86514;12.545;V;HBB;1
2458960.86602;13.782;B;HBB;1
2458960.8669;12.512;V;HBB;1
2458960.86778;13.767;B;HBB;1
2458960.86866;12.575;V;HBB;1
2458960.86954;13.754;B;HBB;1
2458960.87042;12.512;V;HBB;1
2458960.8713;13.78;B;HBB;1
2458960.87218;12.533;V;HBB;1
2458960.87306;13.731;B;HBB;1
2458960.87394;12.527;V;HBB;1
2458960.87482;13.737;B;HBB;1
2458960.8757;12.545;V;HBB;1
2458960.87658;13.777;B;HBB;1
2458962.6056;11.579;R;GCO;1
2458962.61163;13.832;B;GCO;1
2458962.63096;12.566;V;GCO;1
2458962.63634;10.549;I;GCO;1
2458994.4786;11.609;R;GCO;1
2458994.48132;13.833;B;GCO;1
2458994.49168;12.62;V;GCO;1
2458994.50058;10.586;I;GCO;1
2458997.47942;11.592;R;GCO;1
2458997.48385;13.785;B;GCO;1
2458997.49394;12.593;V;GCO;1
2458997.49966;10.564;I;GCO;1
2459024.40486;12.583;V;TUB;1
2459098.32118;11.627;R;GCO;1
2459098.32551;13.895;B;GCO;1
2459098.33598;12.69;V;GCO;1
2459098.34133;10.571;I;GCO;1
2459127.29653;12.197;V;TUB;1
2459131.29931;12.584;V;TUB;1
2459131.632;12.65;V;SFOA;1
2459137.2625;12.695;V;TUB;1
2459141.23681;12.817;V;TUB;1
2459172.24028;12.48;V;TUB;1
