2454991.729;2009 JUN 9;9.995
2454995.66;2009 JUN 13;10
2454996.674;2009 JUN 14;9.983
2454999.18;2009 JUN 16;9.98
2455000.677;2009 JUN 18;9.966
2455011.692;2009 JUN 29;10.156667
2455019.639;2009 JUL 7;10.227
2455023.953;2009 JUL 11;10.214
2455026.001;2009 JUL 13;10.19425
2455028.612;2009 JUL 16;10.3125
2455032.651;2009 JUL 20;10.317857
2455038.967;2009 JUL 26;10.336
2455043.975;2009 JUL 31;10.374333
2455052.47;2009 AUG 8;10.3
2455055.994;2009 AUG 12;10.315
2455067.615;2009 AUG 24;10.4045
2455080.655;2009 SEP 6;10.304
2455086.57;2009 SEP 12;10.391375
2455089.642;2009 SEP 15;10.388
2455094.627;2009 SEP 20;10.433
2455096.616;2009 SEP 22;10.4992
2455100.6;2009 SEP 26;10.494
2455128.358;2009 OCT 23;10.35
2455130.562;2009 OCT 26;10.444
2455392.847;2010 JUL 15;10.611
2455397.584;2010 JUL 20;10.591
2455400.818;2010 JUL 23;10.613
2455404.763;2010 JUL 27;10.416
2455408.816;2010 JUL 31;10.314
2455410.638;2010 AUG 2;10.292
2455412.791;2010 AUG 4;10.298
2455414.426;2010 AUG 5;10.284667
2455416.825;2010 AUG 8;10.234
2455420.254;2010 AUG 11;10.2235
2455422.083;2010 AUG 13;10.216
2455423.79;2010 AUG 15;10.208
2455425.58;2010 AUG 17;10.1815
2455426.759;2010 AUG 18;10.177
2455428.017;2010 AUG 19;10.1702
2455429.329;2010 AUG 20;10.1115
2455431.137;2010 AUG 22;9.9814
2455433.163;2010 AUG 24;9.8278
2455434.213;2010 AUG 25;9.8204
2455435.533;2010 AUG 27;9.861727
2455436.555;2010 AUG 28;9.8013
2455438.68;2010 AUG 30;9.930529
2455439.325;2010 AUG 30;9.94425
2455440.106;2010 AUG 31;9.961481
2455441.607;2010 SEP 2;10.027068
2455442.175;2010 SEP 2;10.041974
2455442.808;2010 SEP 3;10.064026
2455443.77;2010 SEP 4;10.093
2455445.334;2010 SEP 5;10.140732
2455445.828;2010 SEP 6;10.12572
2455447.637;2010 SEP 8;10.1735
2455449.712;2010 SEP 10;10.2395
2455450.978;2010 SEP 11;10.264714
2455452.154;2010 SEP 12;10.2773
2455452.769;2010 SEP 13;10.306
2455454.783;2010 SEP 15;10.3754
2455455.763;2010 SEP 16;10.381686
2455457.668;2010 SEP 18;10.500636
2455458.41;2010 SEP 18;10.527529
2455459.252;2010 SEP 19;10.5465
2455460.482;2010 SEP 20;10.583
2455462.654;2010 SEP 23;10.728
2455464.342;2010 SEP 24;10.779333
2455465.924;2010 SEP 26;10.893
2455467.51;2010 SEP 28;10.9582
2455468.55;2010 SEP 29;10.976375
2455469.696;2010 SEP 30;11.016
2455471.052;2010 OCT 1;11.0482
2455472.398;2010 OCT 2;11.053714
2455473.696;2010 OCT 4;11.02
2455475.601;2010 OCT 6;11.08675
2455477.241;2010 OCT 7;11.1145
2455478.826;2010 OCT 9;11.133333
2455479.811;2010 OCT 10;11.129667
2455480.936;2010 OCT 11;11.151333
2455482.478;2010 OCT 12;11.1558
2455483.491;2010 OCT 13;11.169045
2455484.583;2010 OCT 15;11.165006
2455485.683;2010 OCT 16;11.161
2455487.684;2010 OCT 18;11.130024
2455489.084;2010 OCT 19;11.141667
2455490.553;2010 OCT 21;11.130042
2455491.02;2010 OCT 21;11.101192
2455491.749;2010 OCT 22;11.081935
2455492.647;2010 OCT 23;11.097757
2455494.301;2010 OCT 24;11.0965
2455495.57;2010 OCT 26;11.112
2455496.484;2010 OCT 26;11.078625
2455497.76;2010 OCT 28;11.034
2455499.659;2010 OCT 30;11.023389
2455499.765;2010 OCT 30;10.9816
2455502.895;2010 NOV 2;10.992857
2455504.276;2010 NOV 3;10.9432
2455505.318;2010 NOV 4;10.9304
2455509.661;2010 NOV 9;10.776
2455510.708;2010 NOV 10;10.727
2455512.707;2010 NOV 12;10.7368
2455513.976;2010 NOV 13;10.724
2455515.243;2010 NOV 14;10.720889
