2450629.888	20.2
2450752.713	16.3
2450934.856	10.5
2450981.966	8.3
2451051.755	8
2451106.757	10
2451301.995	19.3
2451346.94	20.5
2451362.939	22.3
2457268.371	14.9
2457283.333	15.3
2457293.326	15
2457322.342	20.4
2457324.321	20.6
2457353.305	22.4
2457369.268	22.3
2457383.241	21.5
2457435.729	19
2457495.571	18.3
2457509.539	17.05
2457548.487	17.5
2457579.437	16.1
2457592.453	14.9
2457606.494	14
2457623.459	14.02
2457639.417	13.13
2457657.37	10.7
2457664.331	11
2457691.27	10.8
2457723.294	8.8
2457837.652	8.1
2457866.567	8
2457900.494	8
2457915.561	8
2457954.68	9.6
2457971.431	9.2
2458014.357	9.8
2458032.363	15
2458041.272	13.5
2458059.302	12.8
2458088.281	15
2458099.262	17
