2457278.7765;8.593;B;SAH
2457278.77939;7.156;V;SAH
2457278.79666;4.631;R;SAH
2457278.8012;1.974;I;SAH
2457307.73941;2.595;I;SAH
2457307.7581;8.211;V;SAH
2457307.76098;9.76;B;SAH
2457307.76348;5.168;R;SAH
2457312.61042;8.446;V;FRL
2457312.74231;2.679;I;SAH
2457313.71684;8.411;V;SAH
2457313.721;5.287;R;SAH
2457313.72364;9.931;B;SAH
2457327.69867;8.823;V;SAH
2457327.70223;10.323;B;SAH
2457327.70616;5.549;R;SAH
2457327.73356;2.91;I;SAH
2457328.40581;8.954;V;AAUA
2457330.60227;9.039;V;FRL
2457333.69172;2.983;I;SAH
2457334.72575;8.963;V;SAH
2457334.72846;5.655;R;SAH
2457334.73127;10.41;B;SAH
2457349.53702;9.005;V;FRL
2457355.56853;8.938;V;SAH
2457355.57144;5.743;R;SAH
2457355.57436;10.376;B;SAH
2457355.59887;3.057;I;SAH
2457369.6125;8.647;V;SHS
2457375.52574;8.877;V;SAH
2457375.53143;5.59;R;SAH
2457375.53442;10.362;B;SAH
2457375.57532;2.918;I;SAH
2457376.50359;8.927;V;FRL
2457383.71667;10.25;B;SRIC
2457383.71754;8.546;V;SRIC
2457388.47755;8.615;V;SAH
2457388.48751;5.331;R;SAH
2457388.49197;10.116;B;SAH
2457388.51213;2.725;I;SAH
2457389.7172;10.185;B;SRIC
2457389.71809;8.555;V;SRIC
2457390.71662;10.173;B;SRIC
2457395.52444;8.478;V;FRL
2457401.67676;5.634;R;KNAA
2457401.67852;8.412;V;KNAA
2457401.68182;10.145;B;KNAA
2457404.48745;2.457;I;SAH
2457404.4887;8.152;V;SAH
2457404.49218;5.198;R;SAH
2457404.50075;9.515;B;SAH
2457411.54393;8.023;V;FRL
2457418.56856;1.968;I;SAH
2457418.58181;9.023;B;SAH
2457418.58877;7.335;V;SAH
2457418.59877;4.685;R;SAH
2457421.61267;8.772;B;APAA
2457421.6166;7.138;V;APAA
2457428.56689;3.763;R;SAH
2457428.57209;1.279;I;SAH
2457428.57608;6.025;V;SAH
2457428.58406;7.536;B;SAH
2457430.53146;5.536;V;FRL
2457436.50953;5.578;B;SAH
2457436.51697;0.681;I;SAH
2457436.52085;4.35;V;SAH
2457436.52414;2.719;R;SAH
2457601.88416;4.696;R;SAH
2457601.88768;2.027;I;SAH
2457601.89825;8.65;B;SAH
2457601.90108;7.223;V;SAH
2457607.86559;4.853;R;SAH
2457607.86981;2.16;I;SAH
2457607.88601;8.835;B;SAH
2457607.88883;7.459;V;SAH
2457633.85876;2.706;I;SAH
2457633.87389;9.685;B;SAH
2457633.87709;8.358;V;SAH
2457633.88009;5.324;R;SAH
2457642.83352;2.894;I;SAH
2457642.83991;5.527;R;SAH
2457642.84344;9.937;B;SAH
2457642.84626;8.64;V;SAH
2457661.81088;2.933;I;SAH
2457663.80835;10.457;B;SAH
2457663.8165;8.994;V;SAH
2457663.82291;5.807;R;SAH
2457669.6236;9.021;V;SHS
2457671.80523;9.2;V;SAH
2457671.80814;5.95;R;SAH
2457671.81022;3.174;I;SAH
2457671.81096;10.486;B;SAH
2457684.71291;3.195;I;SAH
2457684.85402;9.161;V;SAH
2457684.85841;5.95;R;SAH
2457684.86126;10.416;B;SAH
2457695.73616;8.966;V;SAH
2457696.64141;10.028;B;SAH
2457696.64427;5.892;R;SAH
2457696.65934;3.094;I;SAH
2457697.55418;8.961;V;FRL
2457701.5097;8.856;V;SHS
2457711.67182;8.88;V;SGEO
2457711.67269;10.201;B;SGEO
2457711.67414;2.112;I;SGEO
2457712.729;2.923;I;SAH
2457712.72963;8.764;V;SAH
2457712.73278;5.726;R;SAH
2457712.73561;9.83;B;SAH
2457716.67108;10.24;B;APAA
2457716.67411;8.847;V;APAA
2457723.73272;10.363;B;APAA
2457723.73579;8.77;V;APAA
2457729.54169;8.651;V;SAH
2457729.54522;5.46;R;SAH
2457729.54846;9.847;B;SAH
2457729.55468;2.797;I;SAH
2457738.63036;10.203;B;APAA
2457738.63341;8.558;V;APAA
2457742.54398;2.666;I;SAH
2457742.54504;8.381;V;SAH
2457742.54837;5.301;R;SAH
2457742.55155;9.74;B;SAH
2457743.55868;8.39;V;FRL
2457750.52798;8.203;V;SAH
2457750.5323;5.082;R;SAH
2457750.53562;9.635;B;SAH
2457750.5391;2.523;I;SAH
2457760.48077;1.987;I;SAH
2457760.48831;7.049;V;SAH
2457760.4925;4.348;R;SAH
2457760.4956;8.549;B;SAH
