;dumb;star_name_string;name;ra;dec;frequency;HR;LR
82;0;v1329cyg;V1329 Cyg;20 51 01.23;+35 34 54.11;30;2;2
83;0;v1413aql;V1413 Aql;19 03 46.84;+16 26 16.97;30;3;1
84;0;v2204oph;V2204 Oph;18 26 01.92;+11 55 09.58;0;1;1
85;0;v2506sgr;V2506 Sgr;18 11 01.68;-28 32 40.36;60;-;2
86;0;v2905sgr;V2905 Sgr;18 17 20.27;-28 09 49.11;10;3;0
87;0;v335vul;V335 Vul;19 23 14.15;+24 27 39.66;30;4;4
88;0;v343ser;V343 Ser;18 12 22.14;-11 40 07.12;30;2;1
89;0;v3804sgr;V3804 Sgr;18 21 28.78;-31 32 04.56;30;-;1
90;0;v3929sgr;V3929 Sgr;18 20 58.86;-26 48 25.63;30;3;2
91;0;v399pav;V399 Pav;19 42 25.38;-68 07 35.34;30;2;2
92;0;v4018sgr;V4018 Sgr;18 25 26.84;-28 35 57.49;30;-;10
93;0;v4074sgr;V4074 Sgr;18 16 05.53;-30 51 13.50;30;3;2
94;0;v407cyg;V407 Cyg;21 02 09.82;+45 46 32.74;30;3;2
95;0;v417cma;V417 CMa;06 59 11.30;-29 02 05.15;30;2;2
96;0;v426sge;V426 Sge;19 54 42.95;+17 22 12.58;30;2;1
97;0;v443her;V443 Her;18 22 07.85;+23 27 19.93;30;1;1
98;0;v455sco;V455 Sco;17 07 21.73;-34 05 14.43;30;-;1
99;0;v471per;V471 Per;01 58 49.66;+52 53 48.46;30;2;1
100;0;v503her;V503 Her;17 36 40.46;+23 18 11.67;30;4;4
101;0;v627cas;V627 Cas;22 57 40.97;+58 49 12.56;30;2;2
102;0;v648car;V648 Car;10 11 02.94;-57 48 13.94;90;2;2
103;0;v694mon;V694 Mon;07 25 51.28;-07 44 08.08;1;0;0
104;0;v917sco;V917 Sco;17 48 04.28;-36 08 17.32;30;-;1
105;0;v919sgr;V919 Sgr;19 03 45.12;-16 59 55.38;30;4;4
106;0;v934her;V934 Her;17 06 34.51;+23 58 18.65;90;3;3
107;0;wray15-1167;WRAY 15-1167;14 03 18.64;-58 09 34.92;0;1;1
108;0;wray15-1470;WRAY 15-1470;16 23 21.64;-27 40 10.32;30;-;1
109;0;wray15-157;WRAY 15-157;08 06 34.87;-28 32 01.22;30;3;2
110;0;wyvel;WY Vel;09 21 59.13;-52 33 51.65;8;1;1
111;0;ygem;Y Gem;07 41 08.52;+20 25 44.33;8;1;1
112;0;yyher;YY Her;18 14 34.19;+20 59 21.19;30;2;1
113;0;zand;Z And;23 33 39.96;+48 49 05.97;15;1;1
114;0;zzcmi;ZZ CMi;07 24 14.00;+08 53 51.80;30;2;2
115;0;[dws97]cet7;[DWS97] Cet 7;01 09 34.84;-08 00 33.08;30;-;2
116;0;rxpup;RX Pup;08 14 12.30;-41 42 29.08;30;-;1
0;v648car;V648 Car;10 11 02.94;-57 48 13.94;30;1;1
0;wray15-157;WRAY 15-157;08 06 34.87;-28 32 01.22;30;1;1
