Site;City;Country;Long;Lat
PIE-SP;;SP;1.74;41.52
SMM-SP;;SP;1.11;41.72
DCO-US;;US;-111.8;33.37
OTO-FR;;;5.43;45.42
ORS-FR;;;1.08;49.42
MTP-US;;;-119.13;34.81
MRO-CA;;;-76.44;45.4
ELG-SP;;;356.413;40.883
