dumb;Keyword;Object
0;NQGem;NQ Gem
0;NqGem;NQ Gem
0;nqgem 150406;NQ Gem
0;NSV 20400;WRAY 15-1356
0;OMI CET;omi Cet
0;Omi Cet;omi Cet
0;omi Cet;omi Cet
0;OmiCet;omi Cet
0;PN K 1-6;PN K1-6
0;pnk1-6;PN K1-6
0;PU Vul;PU Vul
0;PU VUL;PU Vul
0;pu vul;PU Vul
0;Pu Vul-;PU Vul
0;puvul;PU Vul
0;PUVul;PU Vul
0;QW Sge;QW Sge
0;QWSge;QW Sge
0;R Aqr;R Aqr
0;R AQR;R Aqr
0;r aqr;R Aqr
0;R aqr;R Aqr
0;RAqr;R Aqr
0;raqr;R Aqr
0;RAQR;R Aqr
0;ref T Crb;T CrB
0;RR Tel;RR Tel
0;RS Oph;RS Oph
0;RS OPH;RS Oph
0;rs oph;RS Oph
0;Rs Oph;RS Oph
0;rs Oph;RS Oph
0;rsoph;RS Oph
0;RSOph;RS Oph
0;RT Cru;RT Cru
0;RT Ser;RT Ser
0;RW Hya;RW Hya
0;RW HYA;RW Hya
0;rwHya;RW Hya
0;SS 295;SS 295
0;SS Lep;SS Lep
0;SS LEP;SS Lep
0;St HA 190;StHA 190
0;St Ha 32;StHA 32
0;stha32;StHA 32
0;StHA32;StHA 32
0;StHa 149;StHA 149
0;StHA 149;StHA 149
0;STHA149;StHA 149
0;StHA 169;StHA 169
0;STHA 169;StHA 169
0;StHA 180;StHA 180
0;Stha 180;StHA 180
0;stha 190;StHA 190
0;StHA 190;StHA 190
0;StHa 190;StHA 190
0;STHA 190;StHA 190
0;StHa 32;StHA 32
0;STHA 32;StHA 33
0;StHA 55;StHA 55
0;STHa 55;StHA 55
0;STHA 55;StHA 55
0;stha55;StHA 55
0;StHA55;StHA 55
0;stha149;StHA 149
0;StHA149;StHA 149
0;StHa169;StHA 169
0;StHA169;StHA 169
0;STHA190;StHA 190
0;stha190;StHA 190
0;StHa190;StHA 190
0;StHA190;StHA 190
0;stHA190;StHA 190
0;StHa32;StHA 32
0;StHA32;StHA 32
0;StHA55;StHA 55
0;StHa55;StHA 55
0;SU Lyn;SU Lyn
0;su lyn;SU Lyn
0;SU LYN;SU Lyn
0;SU lyn;SU Lyn
0;Su Lyn;SU Lyn
0;SU_Lyn;SU Lyn
0;SULyn;SU Lyn
0;sulyn;SU Lyn
0;SuLyn;SU Lyn
0;su-lyn;SU Lyn
0;SY Mus;SY Mus
0;T Crb;T CrB
0;T CrB;T CrB
0;T CRB;T CrB
0;t crb;T CrB
0;t CrB;T CrB
0;T_CrB;T CrB
0;TCP J19544251 + 1722281;Vend47
0;TCP J19544251+17222;Vend47
0;TCP J19544251+1722281;Vend47
0;TCP J21040470+4631129;TCP J21040470+4631129
0;tcpj19544251+1722;Vend47
0;TCPJ19544251+1722281;Vend47
0;tcpj19544251+1722281;Vend47
0;TCPJ21040470+4631129;TCP J21040470+4631129
0;tcrb;T CrB
0;TCRB;T CrB
0;TCrB;T CrB
0;TCrb;T CrB
0;tCrb;T CrB
0;tcrb 140630;T CrB
0;TX CVn;TX CVn
0;TX Cvn;TX CVn
0;Tx CVn;TX CVn
0;Tx Cvn;TX CVn
0;TX CVN;TX CVn
0;tx cvn;TX CVn
0;TX_CVn;TX CVn
0;tx_cvn;TX CVn
0;txcvn;TX CVn
0;TXCVn;TX CVn
0;TXCvn;TX CVn
0;UCAC3 80_46364;UCAC3 80-46364
0;UCAC3157.43452;UCAC3 157-4452
0;UV Aur;UV Aur
0;UV AUR;UV Aur
0;uv aur;UV Aur
0;Uv Aur;UV Aur
0;UVAur;UV Aur
0;uvaur;UV Aur
