79;at2022ufh;Nova Men 2022;;AT 2022ufh
80;yzret;Nova Ret 2020;YZ Ret;MGAB-V207
81;TCP J17562787-171454;Nova Sgr 2023;;TCP J17562787-171454
82;N SGR 2023;Nova Sgr 2023;; TCP J17562787-171454      
83;NovaSgr2023_alt;Nova Sgr 2023;; TCP J17562787-171454
84;Nova Sco 2023;Nova Sco 2023;;PNV J17224490-4137160  
84;Nova Sgr 2023;Nova Sco 2023;;PNV J17224490-4137160
85;V1716-Sco;Nova Sco 2023;;PNV J17224490-4137160
86;Nova23Sco;Nova Sco 2023;V1716 Sco;PNV J17224490-4137160
87;NovaSgr2023b;Nova Sgr 2023b;V6598 Sgr;TCP J17525020-2024150
88;novasgr2023_3;Nova Sgr 2023b;V6598 Sgr;TCP J17525020-2024150
86;novasco2023;Nova Sco 2023;V1716 Sco;PNV J17224490-4137160
87;NovaSco2023;Nova Sco 2023;V1716 Sco;PNV J17224490-4137160
